Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression pHDB3	Expression pLCV1	qValue pHDB3 vs pLCV1	Fold-change pLCV1/pHDB3
	1105043	1105576		+	ymdB	b1045	RNase III inhibitor during cold shock, UPF0189 family	19	16	1	0.842105263
	1105578	1106999		+	ymdC	b1046	predicted hydrolase	18	17	1	0.944444444
	1110086	1112629	1112691	+	opgH	b1049	membrane glycosyltransferase	445	418	1	0.939325843
1112802	1112802	1113029	1113029	+	yceK	b1050	lipoprotein, DUF1375 family	22	25	1	1.136363636
	1114713	1113487		-	mdtG	b1053	predicted drug efflux system	7	7	1	1
1115839	1115805	1114885	1114858	-	lpxL	b1054	lauryl-acyl carrier protein (ACP)-dependent acyltransferase	159	156	1	0.981132075
1115985	1116030	1117082	1117082	+	yceA	b1055	predicted rhodanese-related sulfurtransferase	750	776	1	1.034666667
	1118269	1117703		-	yceJ	b1057	predicted cytochrome b561	21	19	1	0.904761905
	1118670	1118530		-	yceO	b1058	predicted protein	3	2	1	0.666666667
1119833	1119809	1118691	1118691	-	solA	b1059	N-methyltryptophan oxidase, FAD-binding	176	169	1	0.960227273
1120240	1120178	1119924	1119924	-	bssS	b1060	biofilm regulator	493	479	1	0.971602434
1121855	1121830	1120784	1120711	-	pyrC	b1062	dihydro-orotase	415	436	1	1.05060241
	1124549	1123341		-	mdtH	b1065	multidrug resistance efflux transporter conferring overexpression resistance to norfloxacin and enoxacin	5	4	1	0.8
1124695	1124785	1125369	1125369	+	rimJ	b1066	ribosomal-protein-S5-alanine N-acetyltransferase	227	227	1	1
1125370	1125380	1126027	1126027	+	yceH	b1067	conserved protein, UPF0502 family	314	296	1	0.942675159
1127008	1127062	1128597	1128640	+	murJ	b1069	probable peptidoglycan lipid II flippase required for murein synthesis	111	105	1	0.945945946
1129053	1129053	1128637	1128637	-	flgN	b1070	export chaperone for FlgK and FlgL	33	34	1	1.03030303
	1129351	1129058		-	flgM	b1071	anti-sigma factor for FliA (sigma 28)	17	18	1	1.058823529
	1130086	1129427		-	flgA	b1072	assembly protein for flagellar basal-body periplasmic P ring	11	13	1	1.181818182
1130241	1130241	1130657	1130657	+	flgB	b1073	flagellar component of cell-proximal portion of basal-body rod	24	34	1	1.416666667
1130661	1130661	1131065	1131076	+	flgC	b1074	flagellar component of cell-proximal portion of basal-body rod	32	36	1	1.125
1131066	1131077	1131772	1131772	+	flgD	b1075	flagellar hook assembly protein	24	33	1	1.375
1131784	1131797	1133005	1133005	+	flgE	b1076	flagellar hook protein	28	37	1	1.321428571
	1133025	1133780		+	flgF	b1077	flagellar component of cell-proximal portion of basal-body rod	13	18	1	1.384615385
	1133952	1134734		+	flgG	b1078	flagellar component of cell-distal portion of basal-body rod	14	17	1	1.214285714
	1134787	1135485		+	flgH	b1079	flagellar protein of basal-body outer-membrane L ring	9	12	1	1.333333333
	1135497	1136594		+	flgI	b1080	predicted flagellar basal body protein	9	11	1	1.222222222
	1136594	1137535		+	flgJ	b1081	muramidase	5	6	1	1.2
	1137601	1139244		+	flgK	b1082	flagellar hook-filament junction protein 1	6	7	1	1.166666667
	1139256	1140209		+	flgL	b1083	flagellar hook-filament junction protein	11	13	1	1.181818182
1144022	1143590	1140405	1140405	-	rne	b1084	fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein	558	545	1	0.976702509
1143284	1143725	1144045	1144045	+	yceQ	b1085	predicted protein	34	28	1	0.823529412
1144163	1144163	1145122	1145163	+	rluC	b1086	23S rRNA pseudouridine synthase; specific to U955, U2504, and U2580	610	573	1	0.939344262
1145885	1145818	1145234	1145234	-	yceF	b1087	Maf-like protein	191	191	1	1
1146583			1146422	-	-	predicted RNA	antisense: yceD	4670	4364	1	0.934475375
1146570	1146590	1146763	1146763	+	rpmF	b1089	50S ribosomal subunit protein L32	3759	3291	1	0.875498803
1146764	1146844	1147914	1147914	+	plsX	b1090	probable phosphate acyltransferase	665	632	1	0.95037594
1147915	1147982	1148935	1148950	+	fabH	b1091	3-oxoacyl-[acyl-carrier-protein] synthase III	920	889	1	0.966304348
1148951	1148951	1149880	1149892	+	fabD	b1092	malonyl-CoA-[acyl-carrier-protein] transacylase	3035	2875	1	0.947281713
1150847			1150763	-	-	predicted RNA	antisense: acpP	1249	1175	1	0.940752602
1152505	1152523	1153332	1153332	+	pabC	b1096	4-amino-4-deoxychorismate lyase component of para-aminobenzoate synthase multienzyme complex	165	149	1	0.903030303
1153333	1153335	1154357		+	yceG	b1097	predicted aminodeoxychorismate lyase	215	210	1	0.976744186
	1154347	1154988		+	tmk	b1098	thymidylate kinase	309	288	1	0.932038835
	1154985	1155989	1155989	+	holB	b1099	DNA polymerase III, delta prime subunit	161	148	1	0.919254658
	1160774	1158585		-	fhuE	b1102	ferric-rhodotorulic acid outer membrane transporter	6	6	1	1
1161047	1161108	1161467	1161467	+	hinT	b1103	purine nucleoside phosphoramidase	266	269	1	1.011278195
1161848	1161861	1162502		+	ycfM	b1105	outer membrane lipoprotein	201	200	1	0.995024876
	1162483	1163307	1163317	+	thiK	b1106	thiamin kinase	149	141	1	0.946308725
1165276	1165308	1166612	1166680	+	ndh	b1109	respiratory NADH dehydrogenase 2/cupric reductase	786	797	1	1.013994911
	1166822	1167361		+	ycfJ	b1110	predicted protein	12	12	1	1
1173213	1173187	1169741	1169741	-	mfd	b1114	transcription-repair coupling factor	148	152	1	1.027027027
	1174388	1173315		-	ycfT	b1115	inner membrane protein	0	0	1	#DIV/0!
1174630	1174650	1175849		+	lolC	b1116	lipoprotein-releasing system transmembrane protein	164	158	1	0.963414634
	1175842	1176543		+	lolD	b1117	outer membrane-specific lipoprotein transporter subunit	126	123	1	0.976190476
1177788	1177816	1178727	1178853	+	nagK	b1119	N-acetyl-D-glucosamine kinase	203	189	1	0.931034483
1178854	1178854	1179582	1179728	+	cobB	b1120	deacetylase of acs and cheY, regulates chemotaxis	225	222	1	0.986666667
	1180490	1179702		-	ycfZ	b1121	inner membrane protein	8	8	1	1
1181005	1180948	1180487		-	ymfA	b1122	conserved inner membrane protein	47	44	1	0.936170213
	1182843	1182049		-	potC	b1124	polyamine transporter subunit	420	409	1	0.973809524
1183680	1183667	1182840		-	potB	b1125	polyamine transporter subunit	476	480	1	1.008403361
1184884	1184817	1183681	1183681	-	potA	b1126	polyamine transporter subunit	629	602	1	0.957074722
1187485	1187463	1186342	1186303	-	ycfD	b1128	conserved protein	602	583	1	0.968438538
1189838	1189670	1188999		-	phoP	b1130	DNA-binding response regulator in two-component regulatory system with PhoQ	233	244	1	1.0472103
1191212	1191209	1189839	1189701	-	purB	b1131	adenylosuccinate lyase	632	645	1	1.02056962
1193009	1192996	1191890	1191890	-	mnmA	b1133	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	776	771	1	0.993556701
1194174	1194174	1193521	1193512	-	rluE	b1135	23S rRNA U2457 pseudouridine synthase	129	132	1	1.023255814
	1196755	1196090	1196090	-	ymfD	b1137	e14 prophage; predicted SAM-dependent methyltransferase	32	37	1	1.15625
1197468	1197460	1196756		-	ymfE	b1138	e14 prophage; predicted inner membrane protein	32	36	1	1.125
	1200029	1198902		-	intE	b1140	e14 prophage; predicted integrase	15	15	1	1
	1200255	1200010		-	xisE	b1141	e14 prophage; predicted excisionase	11	11	1	1
1201391	1201307	1200999	1200999	-	ymfJ	b1144	e14 prophage; predicted protein	28	34	1	1.214285714
1202156	1202156	1201482	1201482	-	cohE	b1145	e14 prophage; repressor protein phage e14	501	512	1	1.021956088
	1202247	1202447		+	croE	b1146	e14 prophage; predicted DNA-binding transcriptional regulator	4	6	1	1.5
	1202491	1203048		+	ymfL	b1147	e14 prophage; predicted DNA-binding transcriptional regulator	4	3	1	0.75
	1203045	1203383		+	ymfM	b1148	e14 prophage; predicted protein	6	5	1	0.833333333
	1204772	1204954		+	ymfR	b1150	e14 prophage; predicted protein	1	2	1	2
	1206136	1206720		+	ymfQ	b1153	prohage e14 tail protein homolog	0	0	1	#DIV/0!
	1206724	1207353		+	stfP	b1154	e14 prophage; predicted protein	4	4	1	1
	1207355	1207768		+	tfaP	b1155	e14 prophage; predicted protein	9	5	1	0.555555556
	1208342	1207740		-	tfaE	b1156	e14 prophage; predicted tail fiber assembly protein	2	4	1	2
	1208908	1209462		+	pinE	b1158	e14 prophage; site-specific DNA recombinase	4	3	1	0.75
	1211226	1210903		-	iraM	b1160	RpoS stabilzer during Mg starvation, anti-RssB factor	12	11	1	0.916666667
1212550	1212330	1211926	1211875	-	ycgX	b1161	predicted protein	68	65	1	0.955882353
	1214698	1213487		-	ycgF	b1163	anti-repressor for YcgE, blue light-responsive; FAD-binding; has c-di-GMP phosphodiesterase-like EAL domain, but does not degrade c-di-GMP	23	23	1	1
1215009	1215012	1215248	1215286	+	ycgZ	b1164	connector protein for RcsB regulation of biofilm and acid-resistance	88	88	1	1
	1215592	1215858		+	ariR	b1166	connector protein for RcsB regulation of biofilm and acid-resistance	13	15	1	1.153846154
	1215971	1216219		+	ymgC	b1167	predicted protein	20	16	1	0.8
	1216551	1218074		+	ycgG	b1168	predicted cyclic-di-GMP phosphodiesterase	1	1	1	1
1218184	1218206	1218424	1218555	+	ymgF	b4520	inner membrane division septum protein	80	77	1	0.9625
1221857	1221857	1221528	1221528	-	ymgD	b1171	predicted protein	48	49	1	1.020833333
	1222386	1222213		-	ymgI	b4593	hypothetical protein	23	19	1	0.826086957
	1222487	1222672		+	ymgJ	b4594	hypothetical protein	2	2	1	1
1223771	1223768	1223502	1223477	-	minE	b1174	cell division topological specificity factor	1530	1525	1	0.996732026
1224584	1224584	1223772	1223769	-	minD	b1175	membrane ATPase of the MinC-MinD-MinE system	1242	1286	1	1.035426731
1226805	1226937	1227230	1227301	+	ycgL	b1179	conserved protein	453	435	1	0.960264901
1227302	1227302	1227961	1228015	+	ycgM	b1180	predicted isomerase/hydrolase	222	239	1	1.076576577
	1229617	1228706		-	hlyE	b1182	hemolysin E	2	3	1	1.5
	1229990	1230409		+	umuD	b1183	DNA polymerase V, subunit D	17	19	1	1.117647059
	1230409	1231677		+	umuC	b1184	DNA polymerase V, subunit C	7	6	1	0.857142857
1232279	1232253	1231723	1231723	-	dsbB	b1185	oxidoreductase that catalyzes reoxidation of DsbA protein disulfide isomerase I	167	175	1	1.047904192
1233959	1233940	1232399	1232276	-	nhaB	b1186	sodium:proton antiporter	150	153	1	1.02
1234128	1234161	1234880	1234880	+	fadR	b1187	DNA-binding transcriptional dual regulator of fatty acid metabolism	256	238	1	0.9296875
	1236464	1234932		-	ycgB	b1188	conserved protein	8	8	1	1
1236764	1236794	1238092	1238101	+	dadA	b1189	D-amino acid dehydrogenase	237	269	1	1.135021097
1238093	1238102	1239172	1239370	+	dadX	b1190	alanine racemase 2, PLP-binding	294	345	1	1.173469388
1242360	1242403	1243014	1243069	+	emtA	b1193	lytic murein endotransglycosylase E	300	291	1	0.97
	1243750	1243016		-	ycgR	b1194	flagellar velocity braking protein, c-di-GMP-regulated	1	1	1	1
	1243951	1244205		+	ymgE	b1195	predicted inner membrane protein	3	2	1	0.666666667
	1244383	1244823		+	ycgY	b1196	predicted protein	3	3	1	1
	1246599	1244902		-	treA	b1197	periplasmic trehalase	11	12	1	1.090909091
1250275	1250289	1252208	1252208	+	dhaR	b1201	DNA-binding transcription activator of the dhaKLM operon	36	34	1	0.944444444
	1255175	1252308		-	ycgV	b1202	predicted adhesin	7	7	1	1
1257035	1257035	1255944	1255903	-	ychF	b1203	predicted GTP-binding protein	1784	1762	1	0.987668161
1257759	1257736	1257152	1257036	-	pth	b1204	peptidyl-tRNA hydrolase	368	377	1	1.024456522
	1258014	1258292		+	ychH	b1205	predicted inner membrane protein	7	8	1	1.142857143
1261248	1261098	1260151	1260113	-	prs	b1207	phosphoribosylpyrophosphate synthase	1863	1747	1	0.937734836
	1262100	1261249	1261249	-	ispE	b1208	4-diphosphocytidyl-2-C-methylerythritol kinase	883	860	1	0.973952435
1262741	1262723	1262100		-	lolB	b1209	OM lipoprotein required for localization of lipoproteins	162	174	1	1.074074074
1262835	1262937	1264193	1264193	+	hemA	b1210	glutamyl tRNA reductase	149	143	1	0.959731544
1267387	1267388	1268242	1268431	+	kdsA	b1215	3-deoxy-D-manno-octulosonate 8-phosphate synthase	971	971	1	1
	1268498	1268391		-	ldrA	b4419	toxic polypeptide, small	8	9	1	1.125
1268546			1268612	+	rdlA	b4420	-	14	13	1	0.928571429
	1269033	1268926		-	ldrB	b4421	toxic polypeptide, small	3	3	1	1
1269081			1269146	+	rdlB	b4422	-	1	2	1	2
	1269568	1269461		-	ldrC	b4423	toxic polypeptide, small	10	8	1	0.8
1269616			1269683	+	rdlC	b4424	-	25	23	1	0.92
1271091	1271072	1269972	1269952	-	chaA	b1216	calcium/sodium:proton antiporter	126	122	1	0.968253968
1271613	1271730	1272425	1272425	+	chaC	b1218	cation transport regulator	30	32	1	1.066666667
1272890	1272822	1272469	1272445	-	ychN	b1219	conserved protein	352	331	1	0.940340909
	1273007	1274401		+	ychO	b1220	predicted invasin	15	14	1	0.933333333
	1275052	1274402	1274402	-	narL	b1221	DNA-binding response regulator in two-component regulatory system with NarX (or NarQ)	198	195	1	0.984848485
	1277180	1278571		+	narK	b1223	nitrate/nitrite transporter	0	0	1	#DIV/0!
	1279087	1282830		+	narG	b1224	nitrate reductase 1, alpha subunit	1	2	1	2
	1282827	1284365		+	narH	b1225	nitrate reductase 1, beta (Fe-S) subunit	4	5	1	1.25
	1284362	1285072		+	narJ	b1226	molybdenum-cofactor-assembly chaperone subunit (delta subunit) of nitrate reductase 1	6	4	1	0.666666667
	1285072	1285749		+	narI	b1227	nitrate reductase 1, gamma (cytochrome b(NR)) subunit	1	2	1	2
1286459			1286289	-	rttR	b4425	-	39	43	1	1.102564103
1286466	1286399	1286310		-	tpr	b1229	protamine-like protein	28	27	1	0.964285714
1286551			1286467	-	tyrV	b1230	Tyr tRNA	194	202	1	1.041237113
1286845			1286761	-	tyrT	b1231	Tyr tRNA	5080	5586	1	1.099606299
1287896	1287847	1287005	1286846	-	purU	b1232	formyltetrahydrofolate hydrolase	757	726	1	0.959048877
1288405	1288355	1287897	1287848	-	ychJ	b1233	conserved protein, UPF0225 family	694	683	1	0.984149856
1288128	1288468	1289373	1289464	+	rssA	b1234	conserved protein, patatin-like family	157	143	1	0.910828025
1290583	1290680	1291588	1291588	+	galU	b1236	glucose-1-phosphate uridylyltransferase	1175	1140	1	0.970212766
1291998			1292066	+	-	predicted RNA	antisense: hns	965	1108	1	1.148186528
1292727	1292750	1293367	1293398	+	tdk	b1238	thymidine kinase/deoxyuridine kinase	260	248	1	0.953846154
1300857	1300923	1301843	1301857	+	oppB	b1244	oligopeptide transporter subunit	1160	1156	1	0.996551724
1301858	1301858	1302766	1302777	+	oppC	b1245	oligopeptide transporter subunit	923	934	1	1.01191766
1302778	1302778	1303791		+	oppD	b1246	oligopeptide transporter subunit	1068	1097	1	1.027153558
1305189	1305174	1304845	1304845	-	yciU	b1248	conserved protein, UPF0263 family	384	384	1	1
1306787	1306812	1306985	1307131	+	yciY	b4595	hypothetical protein	870	769	1	0.883908046
1308293	1308293	1307040	1307040	-	kch	b1250	voltage-gated potassium channel	66	68	1	1.03030303
1308907	1308889	1308593	1308581	-	yciI	b1251	predicted enzyme	224	245	1	1.09375
1310300	1310270	1309872	1309872	-	yciA	b1253	Acyl-CoA esterase, role unknown	544	521	1	0.957720588
1311709	1311687	1310944	1310915	-	yciC	b1255	inner membrane protein, UPF0259 family	277	283	1	1.02166065
	1312044	1312682		+	ompW	b1256	outer membrane protein W	11	7	1	0.636363636
	1313248	1312742		-	yciE	b1257	predicted rubrerythrin/ferritin-like metal-binding protein	8	8	1	1
	1313794	1313294		-	yciF	b1258	predicted rubrerythrin/ferritin-like metal-binding protein	4	3	1	0.75
	1314059	1313880		-	yciG	b1259	predicted protein	0	0	1	#DIV/0!
1316450	1316439	1315246		-	trpB	b1261	tryptophan synthase, beta subunit	82	85	1	1.036585366
	1319408	1317813		-	trpD	b1263	fused glutamine amidotransferase (component II) of anthranilate synthase/anthranilate phosphoribosyl transferase	12	13	1	1.083333333
	1320970	1319408		-	trpE	b1264	component I of anthranilate synthase	22	22	1	1
1321106	1321106	1321062	1320987	-	trpL	b1265	trp operon leader peptide	26	18	1	0.692307692
	1322122	1322742	1322769	+	yciO	b1267	predicted RNA binding protein	374	392	1	1.048128342
	1322770	1324665		+	yciQ	b1268	predicted inner membrane protein	23	22	1	0.956521739
1328782	1328692	1328441	1328381	-	yciN	b1273	predicted protein	607	636	1	1.047775947
1328829	1329072	1331669	1331669	+	topA	b1274	DNA topoisomerase I, omega subunit	1110	1070	1	0.963963964
1333833	1333855	1336530	1336530	+	acnA	b1276	aconitate hydratase 1	42	40	1	0.952380952
1337214	1337184	1336594	1336566	-	ribA	b1277	GTP cyclohydrolase II	396	391	1	0.987373737
1338210	1338267	1338575	1338575	+	yciS	b1279	conserved inner membrane protein	494	456	1	0.923076923
1338576	1338582	1339751	1339944	+	yciM	b1280	TPR-repeats-containing protein	97	93	1	0.958762887
1342370	1342370	1341621	1341570	-	yciT	b1284	global regulator of transcription; DeoR family	180	167	1	0.927777778
1344766	1344766	1342781	1342781	-	gmr	b1285	cyclic-di-GMP phosphodiesterase; csgD regulator; modulator of Rnase II stability	33	30	1	0.909090909
	1344820	1344924		+	ymiB	b4672	expressed protein	2	2	1	1
1348131	1348131	1347004	1347004	-	yciW	b1287	predicted oxidoreductase	74	74	1	1
1349202	1349063	1348275	1348162	-	fabI	b1288	enoyl-[acyl-carrier-protein] reductase, NADH-dependent	2415	2337	1	0.967701863
	1351652	1350660	1350659	-	sapD	b1291	antimicrobial peptide transport ABC system ATP-binding protein	112	115	1	1.026785714
1355446	1355134	1353491		-	sapA	b1294	antimicrobial peptide transport ABC transporter periplasmic binding protein	85	89	1	1.047058824
	1357211	1355826		-	puuP	b1296	putrescine importer	13	13	1	1
1358945	1358932	1357514	1357514	-	puuA	b1297	gamma-Glu-putrescine synthase	29	30	1	1.034482759
1359144	1359144	1359908	1359934	+	puuD	b1298	gamma-Glu-GABA hydrolase	44	43	1	0.977272727
	1360767	1362254		+	puuC	b1300	gamma-Glu-gamma-aminobutyraldehyde dehydrogenase, NAD(P)H-dependent	3	3	1	1
	1362256	1363536		+	puuB	b1301	gamma-Glu-putrescine oxidase, FAD/NAD(P)-binding	3	3	1	1
	1363574	1364839		+	puuE	b1302	GABA aminotransferase, PLP-dependent	1	1	1	1
1365936	1365936	1364959	1364959	-	pspF	b1303	DNA-binding transcriptional activator	33	31	1	0.939393939
1366062	1366103	1366771	1366801	+	pspA	b1304	regulatory protein for phage-shock-protein operon	334	365	1	1.092814371
1366772	1366825	1367049		+	pspB	b1305	DNA-binding transcriptional regulator of psp operon	100	91	1	0.91
	1367049	1367408	1367416	+	pspC	b1306	DNA-binding transcriptional activator	53	53	1	1
1367409	1367417	1367638	1367693	+	pspD	b1307	peripheral inner membrane phage-shock protein	46	46	1	1
	1368240	1369919		+	ycjM	b1309	predicted glucosyltransferase	3	3	1	1
	1369933	1371225		+	ycjN	b1310	predicted sugar transporter subunit: periplasmic-binding component of ABC superfamily	1	1	1	1
	1371246	1372127		+	ycjO	b1311	predicted sugar transporter subunit: membrane component of ABC superfamily	0	0	1	#DIV/0!
	1372114	1372956		+	ycjP	b1312	predicted sugar transporter subunit: membrane component of ABC superfamily	2	1	1	0.5
	1372987	1374039		+	ycjQ	b1313	predicted oxidoreductase, Zn-dependent and NAD(P)-binding	2	2	1	1
	1374058	1374846		+	ycjR	b1314	predicted enzyme	3	2	1	0.666666667
	1374856	1375911		+	ycjS	b1315	predicted oxidoreductase, NADH-binding	3	3	1	1
	1375908	1378175		+	ycjT	b1316	predicted hydrolase	1	1	1	1
	1378172	1378831		+	ycjU	b1317	beta-phosphoglucomutase	1	2	1	2
	1379971	1380876		+	ompG	b1319	outer membrane porin G	0	1	1	#DIV/0!
1381990	1381985	1380987	1380987	-	ycjW	b1320	predicted DNA-binding transcriptional regulator	31	32	1	1.032258065
1382126	1382141	1383538		+	ycjX	b1321	conserved protein with nucleoside triphosphate hydrolase domain	65	70	1	1.076923077
1384625	1384744	1386285	1386907	+	tyrR	b1323	DNA-binding transcriptional dual regulator, tyrosine-binding	299	308	1	1.030100334
1386869	1386835	1386329	1386250	-	tpx	b1324	lipid hydroperoxide peroxidase	1715	1572	1	0.916618076
	1388622	1387894		-	mpaA	b1326	murein peptide amidase A	23	23	1	1
	1389877	1388957		-	ycjY	b1327	predicted hydrolase	6	6	1	1
1391229	1391251	1392864	1392864	+	mppA	b1329	murein tripeptide (L-ala-gamma-D-glutamyl-meso-DAP) transporter subunit	130	136	1	1.046153846
1393977	1393946	1392915	1392915	-	ynaI	b1330	MscS family inner membrane protein	119	113	1	0.949579832
1396676	1396646	1395696	1395696	-	uspE	b1333	stress-induced protein	158	158	1	1
	1399797	1398271		-	abgT	b1336	p-aminobenzoyl-glutamate transporter; membrane protein	6	6	1	1
	1401279	1399834		-	abgB	b1337	p-aminobenzoyl-glutamate hydrolase, B subunit	0	0	1	#DIV/0!
	1402589	1401279		-	abgA	b1338	p-aminobenzoyl-glutamate hydrolase, A subunit	1	1	1	1
	1402765	1403673		+	abgR	b1339	predicted DNA-binding transcriptional regulator of abgABT operon	8	9	1	1.125
1403833			1403676	-	isrA	b4426	-	5	3	1	0.6
	1405819	1404587		-	ydaM	b1341	diguanylate cyclase, csgD regulator	5	4	1	0.8
1407153			1407274	+	fnrS	b4699	-	6	7	1	1.166666667
1411259	1411259	1410024	1410024	-	intR	b1345	Rac prophage; integrase	146	145	1	0.993150685
	1411476	1411261		-	ydaQ	b1346	Rac prophage; conserved protein	4	3	1	0.75
	1411764	1411555		-	ydaC	b1347	Rac prophage; predicted protein	3	4	1	1.333333333
	1411951	1411757		-	ralR	b1348	Rac prophage; restriction alleviation protein	5	3	1	0.6
	1412817	1412008		-	recT	b1349	Rac prophage; recombination and repair protein	8	8	1	1
	1415410	1412810		-	recE	b1350	Rac prophage; exonuclease VIII, 5' -> 3' specific dsDNA exonuclease	5	5	1	1
	1415787	1415512		-	racC	b1351	Rac prophage; predicted protein	2	2	1	1
	1416032	1415862		-	ydaE	b4526	Rac prophage; conserved protein	1	2	1	2
	1416253	1416032		-	kilR	b1352	Rac prophage; inhibitor of ftsZ, killing protein	2	1	1	0.5
	1416695	1417183		+	sieB	b1353	Rac prophage; phage superinfection exclusion protein	9	9	1	1
	1417335	1417180		-	ydaF	b4527	Rac prophage; predicted protein	11	10	1	0.909090909
	1417480	1417346		-	ydaG	b1355	Rac prophage; predicted protein	21	19	1	0.904761905
1418266	1418265	1417789	1417774	-	racR	b1356	Rac prophage; predicted DNA-binding transcriptional regulator	198	197	1	0.994949495
	1418389	1418685		+	ydaS	b1357	Rac prophage; predicted DNA-binding transcriptional regulator	10	8	1	0.8
	1418708	1419130		+	ydaT	b1358	Rac prophage; predicted protein	3	4	1	1.333333333
	1419143	1420000		+	ydaU	b1359	Rac prophage; conserved protein	4	5	1	1.25
	1420007	1420753		+	ydaV	b1360	Rac prophage; predicted DNA replication protein	4	3	1	0.75
	1421424	1421609		+	rzoR	b4528	Rac prophage; predicted lipoprotein	4	8	1	2
1421769	1421806	1423263	1423307	+	trkG	b1363	Rac prophage; potassium transporter subunit	97	95	1	0.979381443
	1423401	1423664		+	ynaK	b1365	Rac prophage; conserved protein	13	10	1	0.769230769
1426750	1426750	1425770	1425770	-	insH	b1370	IS5 transposase and trans-activator	32	36	1	1.125
	1427073	1430435		+	stfR	b1372	Rac prophage; predicted tail fiber protein	2	2	1	1
	1430435	1431010		+	tfaR	b1373	Rac prophage; predicted tail fiber assembly protein	6	5	1	0.833333333
	1431698	1431108		-	pinR	b1374	Rac prophage; predicted site-specific recombinase	3	3	1	1
	1432281	1432015		-	ynaE	b1375	Rac prophage; predicted DNA-binding transcriptional regulator	3	2	1	0.666666667
1433643	1433643	1433209	1433209	-	uspF	b1376	stress-induced protein, ATP-binding protein	26	34	1	1.307692308
	1434917	1433784		-	ompN	b1377	outer membrane pore protein N, non-specific	2	2	1	1
1435145			1435253	+	micC	b4427	-	0	0	1	#DIV/0!
1439066	1439082	1439348	1439512	+	ydbJ	b4529	predicted lipoprotein, DUF333 family	103	95	1	0.922330097
1440986	1440867	1439878	1439798	-	ldhA	b1380	fermentative D-lactate dehydrogenase, NAD-dependent	171	173	1	1.011695906
1441071	1441075	1443714		+	ydbH	b1381	predicted protein	62	58	1	0.935483871
	1443711	1443896	1443903	+	ynbE	b1382	lipoprotein	122	115	1	0.942622951
	1445307	1444402		-	feaR	b1384	DNA-binding transcriptional activator for tynA and feaB	12	17	1	1.416666667
	1445543	1447042		+	feaB	b1385	phenylacetaldehyde dehydrogenase	14	15	1	1.071428571
	1449373	1447100		-	tynA	b1386	tyramine oxidase, copper-requiring	3	2	1	0.666666667
	1451666	1449621		-	paaZ	b1387	fused oxepin-CoA hydrolase/3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase	0	0	1	#DIV/0!
	1451951	1452880		+	paaA	b1388	ring 1,2-phenylacetyl-CoA epoxidase subunit	1	2	1	2
	1452892	1453179		+	paaB	b1389	ring 1,2-phenylacetyl-CoA epoxidase possible subunit, not required for in vitro activity	1	2	1	2
	1453188	1453934		+	paaC	b1390	ring 1,2-phenylacetyl-CoA epoxidase subunit	2	3	1	1.5
	1453949	1454446		+	paaD	b1391	ring 1,2-phenylacetyl-CoA epoxidase subunit	1	1	1	1
	1454454	1455524		+	paaE	b1392	ring 1,2-phenylacetyl-CoA epoxidase, NAD(P)H oxidoreductase component	1	2	1	2
	1455521	1456288		+	paaF	b1393	2,3-dehydroadipyl-CoA hydratase	1	1	1	1
	1456288	1457076		+	paaG	b1394	1,2-epoxyphenylacetyl-CoA isomerase, oxepin-CoA-forming	1	1	1	1
	1457078	1458505		+	paaH	b1395	3-hydroxyadipyl-CoA dehydrogenase, NAD+-dependent	3	3	1	1
	1458495	1458917		+	paaI	b1396	thioesterase, most active with ring-hydroxylated phenylacetyl-coenzyme A thioesters	1	1	1	1
	1458917	1460122		+	paaJ	b1397	3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase	7	9	1	1.285714286
	1460149	1461462		+	paaK	b1398	phenylacetyl-CoA ligase	6	7	1	1.166666667
1461549	1461563	1462513		+	paaX	b1399	DNA-binding transcriptional repressor of phenylacetic acid degradation paa operon, phenylacetyl-CoA inducer	109	101	1	0.926605505
	1463254	1463189		-	ynbG	b4674	expressed protein	0	0	1	#DIV/0!
	1466850	1465945		-	insD	b1402	IS2 transposase TnpB	24	23	1	0.958333333
1467244	1467173	1466808		-	insC	b1403	IS2 repressor TnpA	40	34	1	0.85
1467382	1467382	1468533	1468559	+	insI	b1404	IS30 transposase	33	35	1	1.060606061
	1472245	1473105		+	ydbC	b1406	predicted oxidoreductase, NAD(P)-binding	9	9	1	1
	1473168	1475474		+	ydbD	b1407	predicted protein	3	3	1	1
	1475645	1476250		+	ynbA	b1408	inner membrane protein	0	0	1	#DIV/0!
	1476250	1477146		+	ynbB	b1409	predicted CDP-diglyceride synthase	0	0	1	#DIV/0!
	1477162	1478919		+	ynbC	b1410	predicted hydrolase	6	6	1	1
	1478933	1480225		+	ynbD	b1411	predicted phosphatase inner membrane protein	6	7	1	1.166666667
1480843	1481085	1484987	1484987	+	hrpA	b1413	predicted ATP-dependent helicase	110	114	1	1.036363636
1488912	1488926	1489456	1489534	+	cybB	b1418	cytochrome b561	587	592	1	1.008517888
1489530			1489467	-	rydC	b4597	-	34	31	1	0.911764706
